"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG","Real-Time"
"32","Rashee Rice","KC ","5","WR13","33","28","33","31.3","35  -3"
"33","Breece Hall","NYJ ","13","RB17","35","31","32","32.7","33"
"34","DeVonta Smith","PHI ","10","WR14","27","35","38","33.3","29  +5"
"35","Zay Flowers","BAL ","13","WR15","36","41","34","37.0","34  +1"
"36","Cam Skattebo","NYG ","8","RB18","39","37","37","37.7","40  -4"
"37","Lamar Jackson","BAL ","13","QB2","37","34","43","38.0","42  -5"
"38","Tee Higgins","CIN ","6","WR16","32","38","48","39.3","36  +2"
"39","Tetairoa McMillan","CAR ","5","WR17","40","36","44","40.0","43  -4"
"40","Emeka Egbuka","TB ","10","WR18","42","39","39","40.0","41  -1"
"41","Travis Etienne Jr.","NO ","8","RB19","43","42","40","41.7","39  +2"
"42","Colston Loveland","CHI ","10","TE3","38","44","46","42.7","38  +4"
"43","Ladd McConkey","LAC ","7","WR19","44","40","45","43.0","44  -1"
"44","Quinshon Judkins","CLE ","11","RB20","52","46","35","44.3","49  -5"
"45","Garrett Wilson","NYJ ","13","WR20","49","43","42","44.7","47  -2"
